Currency;Opened UTC;Closed UTC;Bid Open;Bid High;Bid Low;Bid Close;Ask Open;Ask High;Ask Low;Ask Close;Ticks;Volume
EUR/USD;25.03.2016 11:00:00.000;25.03.2016 11:00:00.250;1,10786;1,10794;1,10786;1,10794;1,10792;1,10800;1,10792;1,10800;1;0;0.00006
EUR/USD;25.03.2016 10:00:00.000;25.03.2016 10:00:00.250;1,10794;1,10802;1,10794;1,10802;1,10800;1,10808;1,10800;1,10808;1;0;0.00006
EUR/USD;25.03.2016 09:00:00.000;25.03.2016 09:00:00.250;1,10802;1,10811;1,10802;1,10811;1,10808;1,10817;1,10808;1,10817;1;0;0.00006
EUR/USD;25.03.2016 08:00:00.000;25.03.2016 08:00:00.250;1,10811;1,10819;1,10811;1,10819;1,10817;1,10825;1,10817;1,10825;1;0;0.00006
EUR/USD;25.03.2016 07:00:00.000;25.03.2016 07:00:00.250;1,10819;1,10827;1,10819;1,10827;1,10825;1,10833;1,10825;1,10833;1;0;0.00006
EUR/USD;25.03.2016 06:00:00.000;25.03.2016 06:00:00.250;1,10827;1,10836;1,10827;1,10836;1,10833;1,10842;1,10833;1,10842;1;0;0.00006
EUR/USD;25.03.2016 05:00:00.000;25.03.2016 05:00:00.250;1,10836;1,10844;1,10836;1,10844;1,10842;1,10850;1,10842;1,10850;1;0;0.00006
EUR/USD;25.03.2016 04:00:00.000;25.03.2016 04:00:00.250;1,10844;1,10852;1,10844;1,10852;1,10850;1,10858;1,10850;1,10858;1;0;0.00006
EUR/USD;25.03.2016 03:00:00.000;25.03.2016 03:00:00.250;1,10852;1,10861;1,10852;1,10861;1,10858;1,10867;1,10858;1,10867;1;0;0.00006
EUR/USD;25.03.2016 02:00:00.000;25.03.2016 02:00:00.250;1,10861;1,10869;1,10861;1,10869;1,10867;1,10875;1,10867;1,10875;1;0;0.00006
EUR/USD;25.03.2016 01:00:00.000;25.03.2016 01:00:00.250;1,10869;1,10877;1,10869;1,10877;1,10875;1,10883;1,10875;1,10883;1;0;0.00006
EUR/USD;25.03.2016 00:00:00.000;25.03.2016 00:00:00.250;1,10877;1,10886;1,10877;1,10886;1,10883;1,10892;1,10883;1,10892;1;0;0.00006
EUR/USD;24.03.2016 23:00:00.000;24.03.2016 23:00:00.250;1,10886;1,10894;1,10886;1,10894;1,10892;1,10900;1,10892;1,10900;1;0;0.00006
EUR/USD;24.03.2016 22:00:00.000;24.03.2016 22:00:00.250;1,10894;1,10902;1,10894;1,10902;1,10900;1,10908;1,10900;1,10908;1;0;0.00006
EUR/USD;24.03.2016 21:00:00.000;24.03.2016 21:00:00.250;1,10902;1,10911;1,10902;1,10911;1,10908;1,10917;1,10908;1,10917;1;0;0.00006
EUR/USD;24.03.2016 20:00:00.000;24.03.2016 20:00:00.250;1,10911;1,10919;1,10911;1,10919;1,10917;1,10925;1,10917;1,10925;1;0;0.00006
EUR/USD;24.03.2016 19:00:00.000;24.03.2016 19:00:00.250;1,10919;1,10927;1,10919;1,10927;1,10925;1,10933;1,10925;1,10933;1;0;0.00006
EUR/USD;24.03.2016 18:00:00.000;24.03.2016 18:00:00.250;1,10927;1,10936;1,10927;1,10936;1,10933;1,10942;1,10933;1,10942;1;0;0.00006
EUR/USD;24.03.2016 17:00:00.000;24.03.2016 17:00:00.250;1,10936;1,10944;1,10936;1,10944;1,10942;1,10950;1,10942;1,10950;1;0;0.00006
EUR/USD;24.03.2016 16:00:00.000;24.03.2016 16:00:00.250;1,10944;1,10952;1,10944;1,10952;1,10950;1,10958;1,10950;1,10958;1;0;0.00006
EUR/USD;24.03.2016 15:00:00.000;24.03.2016 15:00:00.250;1,10952;1,10961;1,10952;1,10961;1,10958;1,10967;1,10958;1,10967;1;0;0.00006
EUR/USD;24.03.2016 14:00:00.000;24.03.2016 14:00:00.250;1,10961;1,10969;1,10961;1,10969;1,10967;1,10975;1,10967;1,10975;1;0;0.00006
EUR/USD;24.03.2016 13:00:00.000;24.03.2016 13:00:00.250;1,10969;1,10977;1,10969;1,10977;1,10975;1,10983;1,10975;1,10983;1;0;0.00006
EUR/USD;24.03.2016 12:00:00.000;24.03.2016 12:00:00.250;1,10977;1,10986;1,10977;1,10986;1,10983;1,10992;1,10983;1,10992;1;0;0.00006
EUR/USD;24.03.2016 11:00:00.000;24.03.2016 11:00:00.250;1,10986;1,10994;1,10986;1,10994;1,10992;1,11000;1,10992;1,11000;1;0;0.00006
EUR/USD;24.03.2016 10:00:00.000;24.03.2016 10:00:00.250;1,10994;1,11002;1,10994;1,11002;1,11000;1,11008;1,11000;1,11008;1;0;0.00006
EUR/USD;24.03.2016 09:00:00.000;24.03.2016 09:00:00.250;1,11002;1,11011;1,11002;1,11011;1,11008;1,11017;1,11008;1,11017;1;0;0.00006
EUR/USD;24.03.2016 08:00:00.000;24.03.2016 08:00:00.250;1,11011;1,11019;1,11011;1,11019;1,11017;1,11025;1,11017;1,11025;1;0;0.00006
EUR/USD;24.03.2016 07:00:00.000;24.03.2016 07:00:00.250;1,11019;1,11027;1,11019;1,11027;1,11025;1,11033;1,11025;1,11033;1;0;0.00006
EUR/USD;24.03.2016 06:00:00.000;24.03.2016 06:00:00.250;1,11027;1,11036;1,11027;1,11036;1,11033;1,11042;1,11033;1,11042;1;0;0.00006
EUR/USD;24.03.2016 05:00:00.000;24.03.2016 05:00:00.250;1,11036;1,11044;1,11036;1,11044;1,11042;1,11050;1,11042;1,11050;1;0;0.00006
EUR/USD;24.03.2016 04:00:00.000;24.03.2016 04:00:00.250;1,11044;1,11052;1,11044;1,11052;1,11050;1,11058;1,11050;1,11058;1;0;0.00006
EUR/USD;24.03.2016 03:00:00.000;24.03.2016 03:00:00.250;1,11052;1,11061;1,11052;1,11061;1,11058;1,11067;1,11058;1,11067;1;0;0.00006
EUR/USD;24.03.2016 02:00:00.000;24.03.2016 02:00:00.250;1,11061;1,11069;1,11061;1,11069;1,11067;1,11075;1,11067;1,11075;1;0;0.00006
EUR/USD;24.03.2016 01:00:00.000;24.03.2016 01:00:00.250;1,11069;1,11077;1,11069;1,11077;1,11075;1,11083;1,11075;1,11083;1;0;0.00006
EUR/USD;24.03.2016 00:00:00.000;24.03.2016 00:00:00.250;1,11077;1,11086;1,11077;1,11086;1,11083;1,11092;1,11083;1,11092;1;0;0.00006
EUR/USD;23.03.2016 23:00:00.000;23.03.2016 23:00:00.250;1,11086;1,11094;1,11086;1,11094;1,11092;1,11100;1,11092;1,11100;1;0;0.00006
EUR/USD;23.03.2016 22:00:00.000;23.03.2016 22:00:00.250;1,11094;1,11102;1,11094;1,11102;1,11100;1,11108;1,11100;1,11108;1;0;0.00006
EUR/USD;23.03.2016 21:00:00.000;23.03.2016 21:00:00.250;1,11102;1,11111;1,11102;1,11111;1,11108;1,11117;1,11108;1,11117;1;0;0.00006
EUR/USD;23.03.2016 20:00:00.000;23.03.2016 20:00:00.250;1,11111;1,11119;1,11111;1,11119;1,11117;1,11125;1,11117;1,11125;1;0;0.00006
EUR/USD;23.03.2016 19:00:00.000;23.03.2016 19:00:00.250;1,11119;1,11127;1,11119;1,11127;1,11125;1,11133;1,11125;1,11133;1;0;0.00006
EUR/USD;23.03.2016 18:00:00.000;23.03.2016 18:00:00.250;1,11127;1,11136;1,11127;1,11136;1,11133;1,11142;1,11133;1,11142;1;0;0.00006
EUR/USD;23.03.2016 17:00:00.000;23.03.2016 17:00:00.250;1,11136;1,11144;1,11136;1,11144;1,11142;1,11150;1,11142;1,11150;1;0;0.00006
EUR/USD;23.03.2016 16:00:00.000;23.03.2016 16:00:00.250;1,11144;1,11152;1,11144;1,11152;1,11150;1,11158;1,11150;1,11158;1;0;0.00006
EUR/USD;23.03.2016 15:00:00.000;23.03.2016 15:00:00.250;1,11152;1,11161;1,11152;1,11161;1,11158;1,11167;1,11158;1,11167;1;0;0.00006
EUR/USD;23.03.2016 14:00:00.000;23.03.2016 14:00:00.250;1,11161;1,11169;1,11161;1,11169;1,11167;1,11175;1,11167;1,11175;1;0;0.00006
EUR/USD;23.03.2016 13:00:00.000;23.03.2016 13:00:00.250;1,11169;1,11177;1,11169;1,11177;1,11175;1,11183;1,11175;1,11183;1;0;0.00006
EUR/USD;23.03.2016 12:00:00.000;23.03.2016 12:00:00.250;1,11177;1,11186;1,11177;1,11186;1,11183;1,11192;1,11183;1,11192;1;0;0.00006
EUR/USD;23.03.2016 11:00:00.000;23.03.2016 11:00:00.250;1,11186;1,11194;1,11186;1,11194;1,11192;1,11200;1,11192;1,11200;1;0;0.00006
EUR/USD;23.03.2016 10:00:00.000;23.03.2016 10:00:00.250;1,11194;1,11202;1,11194;1,11202;1,11200;1,11208;1,11200;1,11208;1;0;0.00006
EUR/USD;23.03.2016 09:00:00.000;23.03.2016 09:00:00.250;1,11202;1,11211;1,11202;1,11211;1,11208;1,11217;1,11208;1,11217;1;0;0.00006
EUR/USD;23.03.2016 08:00:00.000;23.03.2016 08:00:00.250;1,11211;1,11219;1,11211;1,11219;1,11217;1,11225;1,11217;1,11225;1;0;0.00006
EUR/USD;23.03.2016 07:00:00.000;23.03.2016 07:00:00.250;1,11219;1,11227;1,11219;1,11227;1,11225;1,11233;1,11225;1,11233;1;0;0.00006
EUR/USD;23.03.2016 06:00:00.000;23.03.2016 06:00:00.250;1,11227;1,11236;1,11227;1,11236;1,11233;1,11242;1,11233;1,11242;1;0;0.00006
EUR/USD;23.03.2016 05:00:00.000;23.03.2016 05:00:00.250;1,11236;1,11244;1,11236;1,11244;1,11242;1,11250;1,11242;1,11250;1;0;0.00006
EUR/USD;23.03.2016 04:00:00.000;23.03.2016 04:00:00.250;1,11244;1,11252;1,11244;1,11252;1,11250;1,11258;1,11250;1,11258;1;0;0.00006
EUR/USD;23.03.2016 03:00:00.000;23.03.2016 03:00:00.250;1,11252;1,11261;1,11252;1,11261;1,11258;1,11267;1,11258;1,11267;1;0;0.00006
EUR/USD;23.03.2016 02:00:00.000;23.03.2016 02:00:00.250;1,11261;1,11269;1,11261;1,11269;1,11267;1,11275;1,11267;1,11275;1;0;0.00006
EUR/USD;23.03.2016 01:00:00.000;23.03.2016 01:00:00.250;1,11269;1,11277;1,11269;1,11277;1,11275;1,11283;1,11275;1,11283;1;0;0.00006
EUR/USD;23.03.2016 00:00:00.000;23.03.2016 00:00:00.250;1,11277;1,11286;1,11277;1,11286;1,11283;1,11292;1,11283;1,11292;1;0;0.00006
EUR/USD;22.03.2016 23:00:00.000;22.03.2016 23:00:00.250;1,11286;1,11294;1,11286;1,11294;1,11292;1,11300;1,11292;1,11300;1;0;0.00006
EUR/USD;22.03.2016 22:00:00.000;22.03.2016 22:00:00.250;1,11294;1,11302;1,11294;1,11302;1,11300;1,11308;1,11300;1,11308;1;0;0.00006
EUR/USD;22.03.2016 21:00:00.000;22.03.2016 21:00:00.250;1,11302;1,11311;1,11302;1,11311;1,11308;1,11317;1,11308;1,11317;1;0;0.00006
EUR/USD;22.03.2016 20:00:00.000;22.03.2016 20:00:00.250;1,11311;1,11319;1,11311;1,11319;1,11317;1,11325;1,11317;1,11325;1;0;0.00006
EUR/USD;22.03.2016 19:00:00.000;22.03.2016 19:00:00.250;1,11319;1,11327;1,11319;1,11327;1,11325;1,11333;1,11325;1,11333;1;0;0.00006
EUR/USD;22.03.2016 18:00:00.000;22.03.2016 18:00:00.250;1,11327;1,11336;1,11327;1,11336;1,11333;1,11342;1,11333;1,11342;1;0;0.00006
